iter	tree	grid	feat	var	change	nchange	geodist	cophdist	condition
1	13	ALIGNMENT	Noun: Present Progressive	N:PROG:A=O?	loss	13	800.495262219	5086.55741193	C
1	15	ALIGNMENT	Noun: Present Progressive	N:PROG:A=Sa?	loss	2	214.585476815	1849.01328272	C
1	5	ALIGNMENT	Noun: Simple Past	N:PST: O=So?	gain	30	661.959354191	3750.27023755	S
1	5	ALIGNMENT	Noun: Simple Past	N:PST: O=So?	loss	21	623.280873607	5533.73729245	C
1	7	ALIGNMENT	Noun: Simple Past	N:PST:A=O?	gain	26	398.811024625	4312.23172923	S
1	7	ALIGNMENT	Noun: Simple Past	N:PST:A=O?	loss	3	2454.79731755	5541.21322967	C
1	3	ALIGNMENT	Noun: Simple Past	N:PST:A=Sa?	gain	7	760.788362991	4007.75216922	S
1	3	ALIGNMENT	Noun: Simple Past	N:PST:A=Sa?	loss	4	1743.67714973	6037.8711056	C
1	5	ALIGNMENT	Pronoun: Present Progressive	P:PROG: O=So?	gain	14	884.086698896	4236.63644465	S
1	5	ALIGNMENT	Pronoun: Present Progressive	P:PROG: O=So?	loss	8	765.562069211	3691.89435151	C
1	3	ALIGNMENT	Pronoun: Present Progressive	P:PROG:A=O?	gain	10	494.841236485	3367.87298678	S
1	3	ALIGNMENT	Pronoun: Present Progressive	P:PROG:A=O?	loss	7	707.61891102	3675.43091084	C
1	2	ALIGNMENT	Pronoun: Simple Past	P:PST: O=So?	gain	15	631.076210513	4057.0338498	S
1	2	ALIGNMENT	Pronoun: Simple Past	P:PST: O=So?	loss	6	665.342670337	3958.41686699	C
1	2	ALIGNMENT	Pronoun: Simple Past	P:PST:A=O?	gain	7	914.672139199	4221.27437527	S
1	5	ALIGNMENT	Pronoun: Simple Past	P:PST:A=Sa?	gain	9	572.023964571	4666.36795714	S
1	5	ALIGNMENT	Pronoun: Simple Past	P:PST:A=Sa?	loss	5	865.240662604	4459.25780126	C
1	2	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-A	gain	11	407.296445182	2137.18072297	N
1	2	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-A	loss	3	2305.52519021	6125.55341131	N
1	17	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-O	gain	7	1273.54219054	8331.11321592	N
1	17	ALIGNMENT	Reflexive Pronoun in trans. Clause	REFL-ref-O	loss	4	376.782873658	435.087543552	N
1	4	ALIGNMENT	Verb: Present Progressive	V:PROG: O=So?	gain	8	1309.52972086	7034.74128582	S
1	4	ALIGNMENT	Verb: Present Progressive	V:PROG: O=So?	loss	3	634.628940214	556.296888093	C
1	12	ALIGNMENT	Verb: Present Progressive	V:PROG:A=O?	gain	11	1553.39415818	7571.49257775	S
1	12	ALIGNMENT	Verb: Present Progressive	V:PROG:A=O?	loss	10	459.896939441	3499.26729213	C
1	6	ALIGNMENT	Verb: Present Progressive	V:PROG:A=Sa?	loss	3	2719.8144482	7410.24777084	C
1	14	ALIGNMENT	Verb: Simple Past	V:PST: O=So?	gain	27	701.906652736	4105.39512837	S
1	14	ALIGNMENT	Verb: Simple Past	V:PST: O=So?	loss	42	480.108435879	3961.8642021	C
1	12	ALIGNMENT	Verb: Simple Past	V:PST:A=O?	gain	17	887.03125539	6306.97039409	S
1	12	ALIGNMENT	Verb: Simple Past	V:PST:A=O?	loss	11	529.551175228	4144.25071232	C
1	10	ALIGNMENT	Verb: Simple Past	V:PST:A=Sa?	gain	5	1210.09217006	3489.86760007	S
1	10	ALIGNMENT	Verb: Simple Past	V:PST:A=Sa?	loss	8	1134.01178242	4713.84357992	C
1	9	Nominal morphology	Case marking	CASE-ADJ	gain	18	939.477808217	3661.69147809	C
1	9	Nominal morphology	Case marking	CASE-ADJ	loss	38	513.512151945	3544.43828881	S
1	2	Nominal morphology	Case marking	CASE-ART	gain	5	2087.29858248	6496.99700855	C
1	2	Nominal morphology	Case marking	CASE-ART	loss	28	615.326377799	4994.53236594	S
1	5	Nominal morphology	Case marking	CASE-LAST	gain	10	1254.56665119	6015.63177517	C
1	5	Nominal morphology	Case marking	CASE-LAST	loss	5	1025.77717837	5128.09753214	S
1	16	Nominal morphology	Case marking	CASE-N	gain	14	467.600758449	4798.36725386	C
1	16	Nominal morphology	Case marking	CASE-N	loss	27	643.099041034	6227.04249375	S
1	0	Nominal morphology	Definiteness marking	ADJ-DEF	gain	6	867.454726663	5378.88908463	C
1	0	Nominal morphology	Definiteness marking	ADJ-DEF	loss	10	678.535760205	3529.51103072	S
1	10	Nominal morphology	Definiteness marking	DEF-FIRST	gain	10	1609.96127909	6087.8405991	C
1	10	Nominal morphology	Definiteness marking	DEF-FIRST	loss	9	1059.39187762	4846.03826575	S
1	9	Nominal morphology	Definiteness marking	DEF-LAST	gain	11	1302.16728542	4831.47227432	C
1	9	Nominal morphology	Definiteness marking	DEF-LAST	loss	15	719.55237345	4753.9911117	S
1	3	Nominal morphology	Definiteness marking	DEF.ART	gain	11	1118.05652466	5551.6083482	N
1	3	Nominal morphology	Definiteness marking	DEF.ART	loss	5	1233.76223991	5055.70275587	N
1	1	Nominal morphology	Definiteness marking	N-DEF	gain	9	1495.22429928	5190.46366767	N
1	1	Nominal morphology	Definiteness marking	N-DEF	loss	6	1770.03314253	4569.34617196	N
1	11	Nominal morphology	Gender / Noun class	<5 GENDER	gain	2	7255.18027376	11203.6273689	C
1	11	Nominal morphology	Gender / Noun class	<5 GENDER	loss	2	270.823626538	373.096338607	S
1	9	Nominal morphology	Gender / Noun class	ANIM	gain	7	1716.80404755	7839.87264744	C
1	3	Nominal morphology	Gender / Noun class	M/F	gain	3	1339.99365203	3234.18325892	C
1	3	Nominal morphology	Gender / Noun class	M/F	loss	19	1041.86564871	4864.03192541	S
1	2	Nominal morphology	Gender / Noun class	NEUTR	gain	4	1493.92413529	6665.36628603	C
1	2	Nominal morphology	Gender / Noun class	NEUTR	loss	16	963.529708261	5938.61085802	S
1	5	Nominal morphology	Gender agreement	PRED-ADJ	gain	22	858.272145764	4997.82640244	C
1	5	Nominal morphology	Gender agreement	PRED-ADJ	loss	17	879.941536861	4980.04911388	S
1	8	Nominal morphology	Nominal cases	<7 Cases	gain	5	1055.36225396	6578.40164277	C
1	8	Nominal morphology	Nominal cases	<7 Cases	loss	10	977.760681314	3512.67558792	S
1	16	Nominal morphology	Nominal cases	AGG.CASE.NR	gain	10	1203.38753545	8363.48012635	S
1	16	Nominal morphology	Nominal cases	AGG.CASE.NR	loss	12	803.365036383	6627.24559695	N
1	7	Nominal morphology	Nominal cases	AGGL.CASE	gain	11	1465.73403435	4485.23469825	S
1	7	Nominal morphology	Nominal cases	AGGL.CASE	loss	10	1191.75871108	3876.88652299	N
1	5	Nominal morphology	Nominal cases	DAT	gain	28	514.782153468	4093.37573348	C
1	5	Nominal morphology	Nominal cases	DAT	loss	23	720.871520058	4260.30130635	S
1	5	Nominal morphology	Nominal cases	GEN	gain	11	1055.42914285	4831.88446308	C
1	5	Nominal morphology	Nominal cases	GEN	loss	22	885.561116778	5024.82976441	S
1	9	Nominal morphology	Nominal cases	GEN/DAT	gain	21	755.713168637	3610.06342272	C
1	9	Nominal morphology	Nominal cases	GEN/DAT	loss	20	518.22080033	4985.16670223	S
1	12	Nominal morphology	Nominal cases	O-case	gain	8	907.240925093	5732.47665904	C
1	12	Nominal morphology	Nominal cases	O-case	loss	25	641.59995466	5927.29768895	S
1	7	Nominal morphology	Nominal cases	OBL-Cases	gain	12	725.742385923	4485.04839866	C
